Lisboa	547733	504471	6389.6	5042
Sintra	377835	382521	1186.4	1198.3
Vila_Nova_de_Gaia	302295	301172	1798.5	1787.7
Porto	237591	214579	5686.9	5180.5
Cascais	206479	210361	2127.1	2159.7
Loures	205054	205870	1216.9	1231
Braga	181494	181502	991.4	989.7
Matosinhos	175478	173451	2815.4	2778.8
Amadora	175136	176644	7376.1	7426.8
Almada	174030	169689	2477	2423.8
Oeiras	172120	173339	3759.1	3777.8
Gondomar	168027	166338	1276.1	1261.4
Seixal	158269	164625	1667.7	1724.7
Guimaraes	158124	154920	656	642.9
Odivelas	144549	154462	5528.2	5819.2
Coimbra	143396	134578	446.1	421.3
Santa_Maria_da_Feira	139312	139478	647.2	646.1
Vila_Franca_de_Xira	136886	140614	432.3	441.9
Maia	135306	135678	1634.3	1634.8
Vila_Nova_de_Famalicao	133832	133028	665	659.9
Leiria	126897	125721	224.5	222.5
Setúbal	121185	117780	525.7	511.4
Barcelos	120391	118605	318	313
Funchal	111892	105562	1457.7	1386
Viseu	99274	98164	195.6	193.6
Valongo	93858	95188	1254.4	1267.1
Viana_do_Castelo	88725	86136	278	270
Paredes	86854	86554	555	552.2
Vila_do_Conde	79533	79399	535	532.8
Torres_Vedras	79465	78989	195.3	194
Barreiro	78764	76433	2163.8	2100.3
Aveiro	78450	76882	396.2	389.1
Mafra	76685	81961	265.6	281
Penafiel	72265	70759	340.5	333.4
Santo_Tirso	71530	69557	523.7	509.2
Loule	70622	69453	92	90.9
Ponta_Delgada	68809	68403	295.4	293.6
Oliveira_de_Azemeis	68611	66978	426	415.7
Moita	66029	65104	1196	1178.1
Faro	64560	61019	316.5	301.2
Povoa_de_Varzim	63408	62522	772.4	760.6
Palmela	62831	64110	135.8	137.8
Santarem	62200	58688	110.8	106.2
Figueira_da_Foz	62125	60415	163.8	159.4
Felgueiras	58065	57246	502.2	494.6
Alcobaca	56693	55063	138.8	134.9
Evora	56596	53654	43.2	41
Pacos_de_Ferreira	56340	57024	796.7	803.2
Amarante	56264	54432	186.5	180.6
Castelo_Branco	56109	53507	38.9	37.2
Portimao	55614	55439	304.6	304.5
Ovar	55398	54607	374.7	369.7
Pombal	55217	53604	88.1	85.6
Marco_de_Canaveses	53450	52480	265.1	259.9
Vila_Real	51850	50376	136.9	133
Covilha	51797	48741	92.8	87.7
Caldas_da_Rainha	51729	51542	202.6	201.6
Montijo	51222	55153	148.5	158.2
Fafe	50633	49351	231.1	225.3
Sesimbra	49500	50734	254.4	259.2
Vila_Verde	47888	47428	209.8	207.4
Agueda	47729	46825	142.2	139.7
Lousada	47387	47075	494.2	490
Ourem	45932	45037	110.3	108.1
Olhao	45396	45253	346	345.8
